,Win Rate,Pick Rate,Ban Rate
Zacian,52.89,9.4,16.44
Suicune,52.63,20.94,73.97
Psyduck,52.51,15.0,34.48
Dodrio,52.5,9.07,0.77
Armarouge,52.33,8.39,0.18
Gyarados,52.06,11.43,3.38
Blaziken,51.93,26.64,14.26
MewtwoY,51.93,12.89,1.18
Ho-Oh,51.87,6.4,1.0
Garchomp,51.7,25.01,18.73
MewtwoX,51.43,4.34,0.37
Tsareena,51.38,11.17,0.72
Falinks,51.38,2.5,0.17
Blissey,51.15,26.93,11.3
Hoopa,50.96,12.34,2.58
Alolan Raichu,50.9,26.4,63.89
Tyranitar,50.89,5.38,0.45
Greninja,50.79,30.7,1.14
Lapras,50.68,9.37,0.15
Eldegoss,50.58,14.61,0.21
Urshifu,50.46,5.43,0.23
Tinkaton,50.45,3.84,0.29
Absol,50.45,23.02,3.79
Dragapult,50.41,6.88,0.39
Duraludon,50.37,1.72,0.14
Gengar,50.36,13.67,4.06
Metagross,50.28,13.09,0.9
Meowscarada,50.28,13.38,2.17
Umbreon,50.26,35.85,5.07
Inteleon,50.25,27.06,13.91
Machamp,50.07,9.28,0.58
Clefable,50.05,29.71,18.68
Delphox,50.01,10.5,0.31
Darkrai,49.96,10.76,3.8
Pikachu,49.94,29.33,2.22
Snorlax,49.86,25.84,0.66
Galarian Rapidash,49.82,3.62,1.67
Wigglytuff,49.79,7.44,0.9
Decidueye,49.74,26.72,1.2
Gardevoir,49.69,11.89,0.32
Mr. Mime,49.62,5.8,0.31
Greedent,49.56,2.36,0.18
Blastoise,49.55,24.38,1.74
Ceruledge,49.44,10.46,0.88
Talonflame,49.43,24.34,4.65
Zoroark,49.38,15.69,3.29
Aegislash,49.36,16.79,0.95
Slowbro,49.3,18.02,0.99
Cramorant,49.29,4.21,0.12
Miraidon,49.26,5.1,0.31
Lucario,49.16,8.37,0.2
Comfey,49.14,15.55,3.92
Glaceon,49.12,17.35,0.91
Scizor,49.02,18.42,4.34
Alolan Ninetales,48.96,13.08,0.74
Sylveon,48.92,6.74,0.13
Buzzwole,48.73,23.58,33.32
Leafeon,48.72,15.07,2.29
Dragonite,48.69,5.63,0.32
Venusaur,48.6,17.02,0.68
Espeon,48.59,17.73,0.43
Mamoswine,48.53,13.67,0.34
Cinderace,48.53,15.09,0.34
Mew,48.46,6.1,0.17
Zeraora,48.41,18.11,3.58
Chandelure,48.29,4.9,0.09
Crustle,48.24,7.85,0.22
Mimikyu,48.0,11.72,2.86
Azumarill,47.89,8.13,0.52
Charizard,47.85,7.69,0.37
Goodra,47.71,6.06,0.49
Trevenant,47.6,9.89,0.42
Sableye,46.45,6.56,1.6
