"Name","Pokemon","Move Set","Win Rate","Pick Rate","Role","Move 1","Move 2","Battle Item","Pick Rate","Win Rate"
"Absol","Pokemon/Absol.png","Pursuit/Psycho Cut","51.78","10.88","Speedster","Moves/Absol - Pursuit.png","Moves/Absol - Psycho Cut.png","Battle_Items/Full Heal.png","39.75","53.99"
"Absol","Pokemon/Absol.png","Pursuit/Psycho Cut","51.78","10.88","Speedster","Moves/Absol - Pursuit.png","Moves/Absol - Psycho Cut.png","Battle_Items/Eject Button.png","30.26","52.15"
"Absol","Pokemon/Absol.png","Pursuit/Psycho Cut","51.78","10.88","Speedster","Moves/Absol - Pursuit.png","Moves/Absol - Psycho Cut.png","Battle_Items/X Attack.png","12.05","51.31"
"Absol","Pokemon/Absol.png","Pursuit/Sucker Punch","50.2","9.3","Speedster","Moves/Absol - Pursuit.png","Moves/Absol - Sucker Punch.png","Battle_Items/Eject Button.png","34.18","50.12"
"Absol","Pokemon/Absol.png","Pursuit/Sucker Punch","50.2","9.3","Speedster","Moves/Absol - Pursuit.png","Moves/Absol - Sucker Punch.png","Battle_Items/Full Heal.png","33.02","52.2"
"Absol","Pokemon/Absol.png","Pursuit/Sucker Punch","50.2","9.3","Speedster","Moves/Absol - Pursuit.png","Moves/Absol - Sucker Punch.png","Battle_Items/X Speed.png","10.48","48.57"
"Absol","Pokemon/Absol.png","Night Slash/Psycho Cut","46.39","4.24","Speedster","Moves/Absol - Night Slash.png","Moves/Absol - Psycho Cut.png","Battle_Items/Eject Button.png","53.87","45.23"
"Absol","Pokemon/Absol.png","Night Slash/Psycho Cut","46.39","4.24","Speedster","Moves/Absol - Night Slash.png","Moves/Absol - Psycho Cut.png","Battle_Items/Full Heal.png","16.67","50.0"
"Absol","Pokemon/Absol.png","Night Slash/Psycho Cut","46.39","4.24","Speedster","Moves/Absol - Night Slash.png","Moves/Absol - Psycho Cut.png","Battle_Items/X Speed.png","10.68","48.14"
"Absol","Pokemon/Absol.png","Night Slash/Sucker Punch","47.77","0.6","Speedster","Moves/Absol - Night Slash.png","Moves/Absol - Sucker Punch.png","Battle_Items/Eject Button.png","31.55","43.69"
"Absol","Pokemon/Absol.png","Night Slash/Sucker Punch","47.77","0.6","Speedster","Moves/Absol - Night Slash.png","Moves/Absol - Sucker Punch.png","Battle_Items/Potion.png","20.87","48.84"
"Absol","Pokemon/Absol.png","Night Slash/Sucker Punch","47.77","0.6","Speedster","Moves/Absol - Night Slash.png","Moves/Absol - Sucker Punch.png","Battle_Items/Goal Getter.png","13.2","50.0"
"Aegislash","Pokemon/Aegislash.png","Sacred Sword/Wide Guard","50.17","9.62","All-Rounder","Moves/Aegislash - Sacred Sword.png","Moves/Aegislash - Wide Guard.png","Battle_Items/Potion.png","56.06","50.25"
"Aegislash","Pokemon/Aegislash.png","Sacred Sword/Wide Guard","50.17","9.62","All-Rounder","Moves/Aegislash - Sacred Sword.png","Moves/Aegislash - Wide Guard.png","Battle_Items/Full Heal.png","21.17","53.98"
